Date,GSR
2021-05-10,66.86924538294471
2021-05-11,66.3810265669524
2021-05-12,66.93106809628738
2021-05-13,67.43824902522032
2021-05-14,67.19189783032387
2021-05-17,66.08280201255651
2021-05-18,65.96736961162544
2021-05-19,67.17009739273173
2021-05-20,67.08256258938147
2021-05-21,68.31070434089311
2021-05-24,67.57987716009616
2021-05-25,67.69982277583881
2021-05-26,68.26194683090331
2021-05-27,67.89999314778238
2021-05-28,67.96341935219237
2021-06-01,67.75985514392559
2021-06-02,67.67543973026169
2021-06-03,68.14275358916348
2021-06-04,67.78579104273388
2021-06-07,67.74044091421952
2021-06-08,68.27349596803775
2021-06-09,67.65052384782105
2021-06-10,67.61377806318222
2021-06-11,66.73776224771923
2021-06-14,66.51441581629233
2021-06-15,67.00025083091185
2021-06-16,66.88849104431182
2021-06-17,68.63488849457099
2021-06-18,68.10617196792704
2021-06-21,68.49125852899756
2021-06-22,68.72098724036283
2021-06-23,68.26643413397217
2021-06-24,68.16907571910929
2021-06-25,68.11593918013702
2021-06-28,67.87702904956379
2021-06-29,68.13543856301862
2021-06-30,67.67819556150913
2021-07-01,68.10738149385442
2021-07-02,67.316185755194
2021-07-06,68.57459838036532
2021-07-07,68.99655143193593
2021-07-08,69.30334813994754
2021-07-09,69.05497575227332
2021-07-12,68.86753118784675
2021-07-13,69.2858525855767
2021-07-14,69.50773560453598
2021-07-15,69.32322367446683
2021-07-16,70.39220894305791
2021-07-19,71.98519424956314
2021-07-20,72.50270554551494
2021-07-21,71.43592845243656
2021-07-22,71.16104933126243
2021-07-23,71.43310314000043
2021-07-26,71.10891266047422
2021-07-27,73.05537521230404
2021-07-28,72.39700413675787
2021-07-29,71.07591816138817
2021-07-30,71.00438672255818
2021-08-02,71.13902383032814
2021-08-03,70.80106300032371
2021-08-04,71.15067440060109
2021-08-05,71.41274459291535
2021-08-06,72.39223346976304
2021-08-09,74.10879753208516
2021-08-10,73.95303028708301
2021-08-11,74.56760479711895
2021-08-12,75.69790238700497
2021-08-13,74.68865606630845
2021-08-16,75.14297614875844
2021-08-17,75.48206807624523
2021-08-18,76.09772448556701
2021-08-19,76.66666683095166
2021-08-20,77.08288402015772
2021-08-23,76.2484645597625
2021-08-24,75.57974138619299
2021-08-25,75.22611409107868
2021-08-26,76.11483849383774
2021-08-27,75.50291005439908
2021-08-30,75.50083760947751
2021-08-31,75.75125498131658
2021-09-01,74.99276056388474
2021-09-02,75.75706601767016
2021-09-03,73.93991150647656
2021-09-07,73.80208972800176
2021-09-08,74.5752130615417
2021-09-09,74.47893206810087
2021-09-10,75.01991238429378
2021-09-13,75.44310110007594
2021-09-14,75.69415413060754
2021-09-15,75.44088411574978
2021-09-16,77.11849126314142
2021-09-17,78.46602459868042
2021-09-20,79.49285026112767
2021-09-21,78.67806687642742
2021-09-22,77.69032277220357
2021-09-23,77.18840808499486
2021-09-24,78.15347119041452
2021-09-27,77.23882384346625
2021-09-28,77.3874286763868
2021-09-29,80.22275173020407
2021-09-30,79.71027910293897
2021-10-01,78.05419734050697
2021-10-04,78.0882460336374
2021-10-05,77.92046402069282
2021-10-06,78.22358301864821
2021-10-07,77.67320726336429
2021-10-08,77.44168537655143
2021-10-11,77.5000010109622
2021-10-12,78.17794271780102
2021-10-13,77.48498588130275
2021-10-14,76.59873802408076
2021-10-15,75.75445894270023
2021-10-18,75.92823845936321
2021-10-19,74.1639421416787
2021-10-20,73.04700258722816
2021-10-21,73.75569272494572
2021-10-22,73.49870797805593
2021-10-25,73.49828923126601
2021-10-26,74.42912555993621
2021-10-27,74.3271770498065
2021-10-28,74.70248920972324
2021-10-29,74.46231040818934
2021-11-01,74.59690978440396
2021-11-02,76.11489153922872
2021-11-03,75.93214450748712
2021-11-04,75.00209109428722
2021-11-05,75.20702187322608
2021-11-08,74.47528123033584
2021-11-09,75.27659983742075
2021-11-10,74.59926356797796
2021-11-11,73.6413543871166
2021-11-12,73.70186373640598
2021-11-15,74.32588319994858
2021-11-16,74.31045371406898
2021-11-17,74.29172983570139
2021-11-18,74.73595717293252
2021-11-19,74.7054035462367
2021-11-22,74.33016151035442
2021-11-23,76.10411950689075
2021-11-24,75.93207156843461
2021-11-26,77.26230240674921
2021-11-29,78.17448421106174
2021-11-30,77.9090719586146
2021-12-01,79.89595913061373
2021-12-02,79.02602768891418
2021-12-03,79.39407548358872
2021-12-06,79.9667063501802
2021-12-07,79.27246917299763
2021-12-08,79.65163345375441
2021-12-09,80.7590743795627
2021-12-10,80.455777829
2021-12-13,80.13907471774836
2021-12-14,80.88820280379475
2021-12-15,81.95090306415548
2021-12-16,80.00890588689079
2021-12-17,80.14395749206578
2021-12-20,80.5252517122254
2021-12-21,79.45515777075013
2021-12-22,79.04527860914182
2021-12-23,78.98477913982244
2021-12-27,78.6848848244972
2021-12-28,78.3263357877727
2021-12-29,79.00472729956226
2021-12-30,78.71721212354133
2021-12-31,78.33933767708672
2022-01-03,78.95568021623424
2022-01-04,78.73947354760469
2022-01-05,78.81641493097251
2022-01-06,80.66654498079319
2022-01-07,80.24471162998083
2022-01-10,80.12118385801426
2022-01-11,79.74217289547668
2022-01-12,78.75861599499223
2022-01-13,78.65255440144469
2022-01-14,79.28506200735566
2022-01-18,77.16183788924953
2022-01-19,76.07941832558471
2022-01-20,74.5619346447323
2022-01-21,75.33931524659899
2022-01-24,77.39861085382768
2022-01-25,77.53180273979426
2022-01-26,76.86395116572038
2022-01-27,79.09407763757635
2022-01-28,80.0331818110678
2022-01-31,80.15181796425138
2022-02-01,79.67339331458962
